Taxa_group,Phylum,Order,Family,Genus,Species,Final_ID,Primer_name
Invertebrate,Arthropoda,Cyclopoida,Cyclopidae,Cyclops,,Cyclops_sp,B2
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,liederi,Bosmina_liederi,B2
Invertebrate,Arthropoda,Diplostraca,Bosminidae,Bosmina,longirostris,Bosmina_longirostris,B2
Invertebrate,Arthropoda,Diplostraca,Chydoridae,Chydorus,brevilabris,Chydorus_brevilabris,B2
Invertebrate,Arthropoda,Diptera,Chironomidae,Dicrotendipes,,Dicrotendipes_sp,B2
Invertebrate,Arthropoda,Diptera,Chironomidae,Paratanytarsus,grimmii,Paratanytarsus_grimmii,B2
Invertebrate,Arthropoda,Lepidoptera,Crambidae,Acentria,ephemerella,Acentria_ephemerella,B2
Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,commersonii,Catostomus_commersonii,B2
Fish,Chordata,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,Lepisosteus_osseus,B2
Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,rupestris,Ambloplites_rupestris,B2
Fish,Chordata,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus,Petromyzon_marinus,B2
Invertebrate,Cnidaria,Anthoathecata,Hydridae,Hydra,circumcincta,Hydra_circumcincta,B2
Invertebrate,Cnidaria,Anthoathecata,Hydridae,Hydra,hymanae,Hydra_hymanae,B2
Invertebrate,Mollusca,Unionida,Unionidae,Elliptio,complanata,Elliptio_complanata,B2
Algae,Ochrophyta,Stephanodiscales,Stephanodiscaceae,Pantocsekiella,ocellata,Cyclotella_ocellata,B2
Invertebrate,Porifera,Spongillida,Spongillidae,Eunapius,fragilis,Eunapius_fragilis,B2
Invertebrate,Porifera,Spongillida,Spongillidae,Spongilla,lacustris,Spongilla_lacustris,B2
Rotifer,Rotifera,Ploima,Brachionidae,Keratella,cochlearis,Keratella_cochlearis,B2
Rotifer,Rotifera,Ploima,Synchaetidae,Polyarthra,dolichoptera,Polyarthra_dolichoptera,B2
Fish,Chordata,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Acipenser_fulvescens,COIFish
Fish,Chordata,Anguiliformes,Anguillidae,Anguilla,rostrata,Anguilla_rostrata,COIFish
Bird,Chordata,Anseriformes,Anatidae,Anas,platyrhynchos,Anas_platyrhynchos,COIFish
Mammal,Chordata,Carnivora,Procyonidae,Procyon,lotor,Procyon_lotor,COIFish
Fish,Chordata,Cypriniformes,Catostomidae,Catostomus,commersonii,Catostomus_commersonii,COIFish
Fish,Chordata,Cypriniformes,Catostomidae,Moxostoma,anisurum,Moxostoma_anisurum,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Chrosomus,eos,Chrosomus_eos,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Hybognathus,regius,Hybognathus_regius,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Notemigonus,crysoleucas,Notemigonus_crysoleucas,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Notropis,heterodon,Notropis_heterodon,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Pimephales,promelas,Pimephales_promelas,COIFish
Fish,Chordata,Cypriniformes,Leuciscidae,Semotilus,atromaculatus,Semotilus_atromaculatus,COIFish
Fish,Chordata,Cyprinodontiformes,Fundulidae,Fundulus,diaphanus,Fundulus_diaphanus,COIFish
Fish,Chordata,Esociformes,Esocidae,Esox,lucius,Esox_lucius,COIFish
Fish,Chordata,Esociformes,Umbridae,Umbra,limi,Umbra_limi,COIFish
Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,melanostomus,Neogobius_melanostomus,COIFish
Fish,Chordata,Osmeriformes,Osmeridae,Osmerus,mordax,Osmerus_mordax,COIFish
Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,rupestris,Ambloplites_rupestris,COIFish
Fish,Chordata,Perciformes,Centrarchidae,Lepomis,gibbosus,Lepomis_gibbosus,COIFish
Fish,Chordata,Perciformes,Centrarchidae,Micropterus,dolomieu,Micropterus_dolomieu,COIFish
Fish,Chordata,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus_salmoides,COIFish
Fish,Chordata,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,Pomoxis_nigromaculatus,COIFish
Fish,Chordata,Perciformes,Moronidae,Morone,chrysops,Morone_chrysops,COIFish
Fish,Chordata,Perciformes,Percidae,Perca,flavescens,Perca_flavescens,COIFish
Fish,Chordata,Perciformes,Percidae,Sander,vitreus,Sander_vitreus,COIFish
Mammal,Chordata,Rodentia,Castoridae,Castor,canadensis,Castor_canadensis,COIFish
Fish,Chordata,Scorpaeniformes,Gasterosteidae,Culaea,inconstans,Culaea_inconstans,COIFish
Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,natalis,Ameiurus_natalis,COIFish
